There there.n.01
unique unique.s.02
hummingbird hummingbird.n.01
specie coinage.n.01
world universe.n.01
Only entirely.r.02
eight ashcan_school.n.01
specie coinage.n.01
regularly regularly.r.01
breed breed.v.02
United connect.v.03
States express.v.04
though though.r.01
two two.n.01
dozen twelve.n.01
specie coinage.n.01
may whitethorn.n.01
visit visit.v.07
country state.n.04
reported report.v.05
regular regular.n.01
vagrant vagrant.n.01
rest perch.v.01
hummingbird hummingbird.n.01
primarily chiefly.r.01
tropical tropical.a.02
specie coinage.n.01
regularly regularly.r.01
migrate migrate.v.01
found determine.v.01
Central central.n.01
South south.n.01
America america.n.02
well well.r.02
throughout throughout.r.01
Caribbean caribbean.n.01
