depends count.v.08
located locate.v.01
In indiana.n.01
North union.n.02
America america.n.02
hummingbird hummingbird.n.01
start get_down.v.07
arrive arrive.v.02
starting get_down.v.07
early early.a.01
February february.n.01
end end.n.02
late late.s.03
October october.n.01
In indiana.n.01
southern southern.a.01
portion part.n.01
United connect.v.03
States express.v.04
Mexico mexico.n.01
Central central.n.01
America america.n.02
South confederacy.n.01
America america.n.02
hummingbird hummingbird.n.01
live survive.v.01
year year.n.03
long long.a.01
best best.n.03
way means.n.01
find witness.v.02
hummingbird hummingbird.n.01
season season.n.01
start get_down.v.07
writing write.v.02
first beginning.n.02
last survive.v.01
time time.n.03
see determine.v.08
hummingbird hummingbird.n.01
every every.s.01
year year.n.03
journal diary.n.01
able able.a.01
see determine.v.08
pattern practice.n.01
couple match.v.03
year year.n.03
